Publisher,Year,Total_Sales,Sales_Minimum,Sales_Maximum,Mean_Sales,Total_Games
Activision,1980,3.02,0.27,1.15,0.604,5
Activision,1981,8.5,0.39,4.5,1.4166666666666667,6
Activision,1982,1.86,0.15,0.66,0.465,4
Activision,1983,1.94,0.29,1.31,0.6466666666666666,3
Activision,1984,0.27,0.27,0.27,0.27,1
Activision,1985,0.48,0.03,0.45,0.24,2
Activision,1987,1.12,0.47,0.65,0.56,2
Activision,1988,0.75,0.24,0.51,0.375,2
Activision,1989,0.47,0.47,0.47,0.47,1
Activision,1992,0.32,0.32,0.32,0.32,1
Activision,1994,2.08,2.08,2.08,2.08,1
Activision,1995,4.21,4.21,4.21,4.21,1
Activision,1996,1.9500000000000002,0.1,1.59,0.65,3
Activision,1997,2.55,0.2,1.99,0.85,3
Activision,1998,7.54,0.02,1.71,0.5385714285714286,14
Activision,1999,7.569999999999999,0.1,5.02,0.9462499999999999,8
Activision,2000,14.48,0.11,4.68,1.113846153846154,13
Activision,2001,18.8,0.03,4.41,0.7833333333333333,24
Activision,2002,26.03,0.04,4.48,0.5103921568627451,51
Activision,2003,22.56,0.01,3.9,0.6097297297297297,37
Activision,2004,39.29,0.06,6.28,0.8185416666666666,48
Activision,2005,35.68,0.01,2.67,0.4955555555555555,72
Activision,2006,19.85,0.01,2.71,0.35446428571428573,56
Activision,2007,66.92,0.01,9.32,0.8261728395061728,81
Activision,2008,68.87,0.01,7.37,0.7100000000000001,97
Activision,2009,81.66,0.02,13.51,0.6330232558139535,129
Activision,2010,63.39,0.01,14.64,0.712247191011236,89
Activision,2011,51.74,0.02,14.76,0.6898666666666667,75
Activision,2012,53.25,0.01,14.03,1.2678571428571428,42
Activision,2013,43.49,0.01,10.21,1.1444736842105263,38
Activision,2014,44.96,0.01,7.6,1.0455813953488373,43
Activision,2015,35.63,0.03,14.24,0.9135897435897437,39
Activision,2016,3.67,0.02,1.73,0.2621428571428571,14
Atari,1980,8.36,0.24,4.31,2.09,4
Atari,1981,8.45,0.13,1.97,0.7681818181818181,11
Atari,1982,19.43,0.14,7.81,1.387857142857143,14
Atari,1983,3.39,0.4,0.78,0.5650000000000001,6
Atari,1986,0.6599999999999999,0.29,0.37,0.32999999999999996,2
Atari,1987,0.86,0.07,0.45,0.215,4
Atari,1989,0.15,0.15,0.15,0.15,1
Atari,1993,0.27,0.27,0.27,0.27,1
Atari,1997,0.31,0.31,0.31,0.31,1
Atari,1998,1.46,0.65,0.81,0.73,2
Atari,1999,2.3,0.04,0.84,0.3833333333333333,6
Atari,2000,4.8100000000000005,0.08,4.73,2.4050000000000002,2
Atari,2001,8.65,0.09,2.94,0.7863636363636364,11
Atari,2002,22.92,0.01,3.09,0.4677551020408164,49
Atari,2003,19.42,0.01,3.18,0.4516279069767442,43
Atari,2004,14.08,0.01,2.53,0.352,40
Atari,2005,8.38,0.02,1.66,0.2327777777777778,36
Atari,2006,4.79,0.02,0.79,0.19958333333333333,24
Atari,2007,12.620000000000001,0.01,3.0,0.39437500000000003,32
Atari,2008,8.82,0.01,1.55,0.2672727272727273,33
Atari,2009,5.16,0.02,0.88,0.23454545454545456,22
Atari,2010,1.43,0.02,0.26,0.13,11
Atari,2011,0.23,0.01,0.06,0.046,5
Atari,2012,0.05,0.05,0.05,0.05,1
Atari,2013,0.2,0.2,0.2,0.2,1
Atari,2016,0.02,0.02,0.02,0.02,1
Bandai Namco,1984,3.4299999999999997,0.69,1.52,1.1433333333333333,3
Bandai Namco,1985,1.46,0.41,1.05,0.73,2
Bandai Namco,1986,5.28,2.2,3.08,2.64,2
Bandai Namco,1987,2.67,1.25,1.42,1.335,2
Bandai Namco,1988,2.4299999999999997,1.18,1.25,1.2149999999999999,2
Bandai Namco,1989,1.1,1.1,1.1,1.1,1
Bandai Namco,1990,0.63,0.3,0.33,0.315,2
Bandai Namco,1991,1.03,0.28,0.42,0.3433333333333333,3
Bandai Namco,1992,1.04,0.46,0.58,0.52,2
Bandai Namco,1993,5.38,0.22,1.45,0.6725,8
Bandai Namco,1994,1.72,0.03,0.53,0.2866666666666667,6
Bandai Namco,1995,2.52,0.03,0.45,0.2290909090909091,11
Bandai Namco,1996,3.49,0.05,1.45,0.43625,8
Bandai Namco,1997,6.34,0.1,1.68,0.4876923076923077,13
Bandai Namco,1998,5.86,0.03,2.06,0.6511111111111112,9
Bandai Namco,1999,5.140000000000001,0.04,1.45,0.34266666666666673,15
Bandai Namco,2000,9.7,0.02,4.05,0.6928571428571428,14
Bandai Namco,2001,7.88,0.02,4.24,0.6566666666666666,12
Bandai Namco,2002,13.04,0.02,3.44,0.5015384615384615,26
Bandai Namco,2003,10.46,0.05,2.06,0.45478260869565224,23
Bandai Namco,2004,5.49,0.02,0.73,0.21960000000000002,25
Bandai Namco,2005,14.790000000000001,0.02,3.98,0.3607317073170732,41
Bandai Namco,2006,11.7,0.01,1.37,0.17727272727272725,66
Bandai Namco,2007,7.59,0.01,0.84,0.15489795918367347,49
